ST#UN;ST#ID;STA_NO;STA_ID;STA_NAME;MANAG_NO;ROAD_NO;DIV_NO;PROV_NO;PR_PORT;SIGN;GAUGE_KIND;ST_WORK;PARAGRAPH;ST#BGN;ST#END
274368100;2743681;"134900";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368300;2743683;"150104";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368500;2743685;"140206";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368700;2743687;"149200";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368900;2743689;"151906";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369100;2743691;"154001";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369300;2743693;"155702";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369700;2743697;"130702";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370100;2743701;"131404";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370300;2743703;"131902";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370500;2743705;"133306";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370800;2743708;"133503";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370900;2743709;"134605";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371300;2743713;"135000";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371400;2743714;"135509";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371700;2743717;"135903";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371800;2743718;"136304";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372100;2743721;"138307";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372200;2743722;"140600";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372500;2743725;"142201";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372600;2743726;"142502";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373000;2743730;"143806";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373100;2743731;"144705";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373200;2743732;"145500";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373500;2743735;"146503";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373600;2743736;"146804";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373900;2743739;"147101";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374000;2743740;"147900";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374200;2743742;"148104";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374400;2743744;"148405";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374700;2743747;"148808";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374800;2743748;"149304";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375200;2743752;"150602";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375300;2743753;"151107";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375600;2743756;"151501";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375800;2743758;"152203";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376100;2743761;"153704";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376500;2743765;"154302";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376600;2743766;"154603";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376700;2743767;"155108";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376900;2743769;"155606";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377100;2743771;"156007";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377400;2743774;"156204";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377500;2743775;"157404";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377800;2743778;"157601";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377900;2743779;"158801";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274378300;2743783;"160106";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274378700;2743787;"161503";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379100;2743791;"164501";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379400;2743794;"166309";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379500;2743795;"166901";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379800;2743798;"167209";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379900;2743799;"168803";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380100;2743801;"169204";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380500;2743805;"130903";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380600;2743806;"131601";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274381200;2743812;"135800";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274381400;2743814;"136501";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274381700;2743817;"141904";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274382000;2743820;"146908";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274383200;2743832;"162205";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274383500;2743835;"165400";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274383700;2743837;"169905";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
276282600;2762826;"825109";"РЗВ";"РЕЗЕРВНАЯ СТАНЦИЯ";20;80;;;0;;;;;"2011-04-19 08:42:05.218009";"2099-01-01 00:00:00.0"
278225300;2782253;"233203";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;17;;;0;;;;;"2011-05-02 09:03:56.703009";"2099-01-01 00:00:00.0"
284640600;2846406;"832901";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;83;;;0;;;;;"2011-08-11 09:06:04.468004";"2099-01-01 00:00:00.0"
287580500;2875805;"138102";;"РЕЗЕРВНАЯ СТАНЦИЯ";21;13;"02";;0;;;;;"2011-08-30 16:14:18.406009";"2099-01-01 00:00:00.0"
348929400;3489294;"892902";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;88;;;0;10;;;;"2012-08-30 15:50:49.541";"2099-01-01 00:00:00.0"
356004300;3560043;"874800";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;83;;;0;10;;;;"2013-07-15 08:21:54.819001";"2099-01-01 00:00:00.0"
359391000;3593910;"872400";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;83;;;0;10;;;;"2013-12-24 08:25:48.361";"2099-01-01 00:00:00.0"
359487700;3594877;"000034";;"БЕРЛИНЛИХТЕН";80;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359487800;3594878;"000049";;"БРАТИСЛАВ ГЛ";56;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359487900;3594879;"000053";;"БРЮССЕЛЬ МИДИ";0;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488000;3594880;"000068";;"БУДАПЕШТ КЕЛЕТИ";53;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488100;3594881;"000072";;"БУХАРЕСТ НОРД";53;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488200;3594882;"000087";;"ВАРНА";52;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488300;3594883;"000091";;"ВАРШАВА ЗАХОДНЯ";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488400;3594884;"000104";;"ВАРШАВА ГДАНЬСКА";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488500;3594885;"000119";;"ВЕНА ЮЖНАЯ";0;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488600;3594886;"000123";;"ВЕНЕЦИЯ СТ-ЛЮЧИЯ";0;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488700;3594887;"000138";;"ВРОЦЛАВ ГЛАВНЫЙ";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488800;3594888;"000142";;"ЗАГРЕБ ГЛАВНЫЙ";0;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359488900;3594889;"000161";;"ПРАГА ГЛАВНЫЙ";54;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489000;3594890;"000176";;"ПХЕНЬЯН";30;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489100;3594891;"000180";;"САЛОНИКИ";0;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489200;3594892;"000195";;"СОФИЯ";52;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489300;3594893;"000212";;"ФРАНКФУРД Н/М";80;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489400;3594894;"000227";;"УЛАН-БАТОР";31;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489500;3594895;"000231";;"ЩЕТИН";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489600;3594896;"000246";;"ДЗАМЫН-УДЭ";31;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489700;3594897;"000250";;"ААХЕН ГЛАВНЫЙ";80;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489800;3594898;"000265";;"ГДЫНЯ ГЛ ПАСС";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359489900;3594899;"000276";;"СУХЕ-БАТОР";31;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490000;3594900;"000284";;"ВАРШАВА ВСХОДНЕ";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490100;3594901;"000299";;"ЭРДЭНЭТ";31;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490200;3594902;"001003";;"ПЕКИН";33;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490300;3594903;"001018";;"ЭРЛЯНЬ";33;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490400;3594904;"001022";;"СУЙФЫНХЭ";33;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490500;3594905;"001037";;"МАНЬЧЖУРИЯ";33;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490600;3594906;"001304";;"БЕРЛИН ЗООЛ";80;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490700;3594907;"001380";;"БЕРЛИН ГЕЗУНДБРУНН";80;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490800;3594908;"002097";;"ТУМАГАН";30;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359490900;3594909;"003511";;"ХЕЛЬСИНКИ";10;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491000;3594910;"003583";;"КОЛАРИ";10;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491100;3594911;"003649";;"РАВИНИЕМИ";10;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491200;3594912;"004088";;"КУОПИО";10;0;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491300;3594913;"009912";;"КРАКОВ";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491400;3594914;"009927";;"ОЛЫШТЫН";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491500;3594915;"009931";;"ЖЕПИН";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491600;3594916;"009946";;"ГДАНЬСК ГЛ.";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
359491700;3594917;"009950";;"БРАНЕВО";51;90;;;0;;;;;"2014-01-14 09:31:38.777777";"2099-01-01 00:00:00.0"
389314000;3893140;"841101";;"РЕЗЕРВНАЯ СТАНЦИЯ";20;83;;;0;;;;;"2014-01-28 15:26:17.828";"2099-01-01 00:00:00.0"
390353600;3903536;"198404";"РЗВ";"РЕЗЕРВНАЯ СТАНЦИЯ";20;17;;;0;;;;;"2014-05-08 18:20:53.078";"2099-01-01 00:00:00.0"
398803600;3988036;"000301";;"ПАРИЖ ВОСТОЧНЫЙ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398803700;3988037;"000316";;"ВАРШАВА ЦЕНТРАЛЬНАЯ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398803800;3988038;"000320";;"ТЕРЕСПОЛЬ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398803900;3988039;"000342";;"СОНБОН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804000;3988040;"000693";;"САЛХИТ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804100;3988041;"000759";;"ТУНХ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804200;3988042;"000763";;"ТОЛГОЙТ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804300;3988043;"000871";;"УНЭГТ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804400;3988044;"001183";;"ШАТАН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804500;3988045;"001249";;"ЭНХТАЛ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804600;3988046;"001268";;"ЭРХЭН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804700;3988047;"001272";;"ЭМЭЭЛТ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804800;3988048;"003475";;"КЕМИ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398804900;3988049;"003672";;"КЕМИЯРВИ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805000;3988050;"003872";;"КАЯНИ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805100;3988051;"004603";;"ЙОЭНСУУ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805200;3988052;"005019";;"НИЦЦА";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805300;3988053;"006011";;"ГЕНУЯ ПРИНЦИП";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
